10037,2
10131,8
10242,4
10388,3
10508,7
10661,0
10785,5
10914,4
11044,1
11171,5
11306,6
11449,6
11575,1
11720,6
11855,3
11995,5
12139,2
12265,5
12411,3
12546,6
12686,4
12830,7
12956,7
13103,5
13237,0
13376,7
13539,2
13658,0
9496,1
9619,6
9771,5
9911,6
10041,1
10189,2
10312,1
10464,0
10603,8
10733,4
10880,9
11004,6
11156,5
11296,6
11425,9
11573,7
11697,1
11847,2
11989,4
12118,4
12265,9
12389,6
12541,2
12680,6
12812,9
12953,1
13086,9
13234,8
9620,3
9757,7
9899,3
10029,5
10176,4
10308
10448,9
10584,9
10720,7
10863,2
10992,8
11137,8
11274,2
11406,6
11550,7
11679,0
11822,0
11957,7
12094,6
12234,8
12365,8
12508,4
12644,1
12779,9
12923,4
13051,8
13191,7
13319,2
9163,5
9300,3
9440,1
9572,8
9712,6
9848,9
9985,1
10125,0
10257,6
10397,5
10533,8
10670,0
10809,9
10942,5
11082,4
11218,6
11354,9
11494,7
11627,4
11767,2
11903,5
12039,8
12179,6
12312,3
12450,9
12590,8
12728
12876,7
9077,2
9218,8
9367,1
9500,7
9632,5
9773,2
9912,9
10059,4
10189,6
10327,9
10465,4
10606,6
10749,6
10881,4
11020,6
11153,5
11299,8
11437,7
11572,4
11713,5
11843,9
11993,8
12133,3
12264,4
12410,6
12533,6
12679,3
12823,5
9281,0
9436,0
9569,1
9707,9
9847,0
9976,4
10126,5
10262,3
10396,4
10537,2
10667,5
10815,3
10953,6
11083,0
11226,8
11358,9
11501,9
11646,4
11777,1
11917,2
12052,0
12192,5
12339,6
12473,0
12603,5
12754,9
12884,4
13037,7
9964,4
10101,8
10241,2
10376,6
10517,1
10649,8
10790,7
10920,0
11060,8
11188,5
11330,3
11469,2
11600,4
11743,9
11871,7
12014,4
12157,2
12286,0
12436,6
12566,3
12700,0
12846,4
12971,8
13118,1
13249,0
13386,9
13525,1
13679,4
10056,4
10197,4
10328,3
10471,9
10620,2
10745,6
10893,7
11022,6
11164,6
11317,2
11439,0
11585,7
11717,4
11861,7
12010,3
12135,8
12281,9
12413,6
12551,3
12705,3
12829,1
12974,2
13105,0
13246,2
13394,9
13527,5
13664,5
13808,4
10529,6
10670,8
10809,8
10941,7
11081,4
11217,8
11354,8
11497,4
11633,1
11772,0
11907,3
12051,1
12188,2
12324,6
12460,3
12597,2
12737,5
12877,4
13011,3
13149,5
13287,2
13424
13566,6
13696,8
13833,0
13976,7
14105,9
14244,6
11005,8
11138,3
11275,9
11419,6
11551,8
11694,6
11828,2
11972,1
12111,5
12244,3
12383,8
12521,2
12662,4
12800,0
12933,1
13071,5
13209,2
13346
13489,7
13620,8
13761,6
13892,4
14030,3
14178,4
14304,6
14411,5
14465,7
14513,5
11084,3
11225,8
11354,6
11495,9
11623,1
11771,1
11911,6
12040,9
12184,2
12314,3
12455,2
12597,9
12728,1
12868,0
13000,7
13141,3
13285,1
13416,2
13558,1
13688,3
13831,5
13974,8
14107,0
14236,6
14364,2
14434,6
14481,5
14523,4
11445,1
11571,4
11688,7
11811,9
11932,4
12063,1
12190,1
12307,7
12435,1
12558,2
12685,0
12810,4
12930,6
13056,5
13177,6
13305,8
13437,6
13552,3
13674,6
13798,6
13928,7
14057,9
14173,0
14281,8
14383,0
14436,2
14483,6
14518,1
